AFF_LOVE_POINT	Punkty Miłosne: %d%%
EMOTION_SLAP	Uderzenie
EMPIRE_A	Królestwo Shinsoo
EMPIRE_B	Królestwo Chunjo
EMPIRE_C	Królestwo Jinno
EMPIRE_SELECT_MODE	Wybierz królestwo
EXCHANGE_CANNOT_GIVE	Nie możesz handlować tym przedmiotem.
EXCHANGE_CANT_EDIT_MONEY	Nie możesz teraz zmienić kwoty.
EXCHANGE_FAILURE_EQUIP_ITEM	Nie możesz wymienić ubranych przedmiotów.
EXCHANGE_MONEY	Kwota
EXCHANGE_TITLE	Handel z %s Poziom: (%d)
FISHING_FAILURE	Straciłeś przynętę.
FISHING_NOTIFY1	Wygląda na to, że na haczyku jest %s.
FISHING_NOTIFY2	Wyglądało na to, że %s wisi na haku.
FISHING_SUCCESS1	Zdobyłeś %s!
FISHING_SUCCESS2	Wyłowiłeś %s!
FISHING_UNKNOWN	Coś nadziało się na haczyk, ale nie widzisz, co to jest.
FISHING_WRONG_PLACE	Nie możesz tu łowić ryb.
FOR_FEMALE	dla kobiet	
FOR_MALE	dla mężczyzn	
GAME_CANNOT_MINING	Nie możesz wydobywać surowców podczas jazdy konnej.
GAME_CANNOT_PICK_ITEM	Nie możesz podnieść tego Przedmiotu, nie ty go zdobyłeś.
GAME_INIT_ERROR_CURSOR	Kursor nie może zostać utworzony.
GAME_INIT_ERROR_DIRECTX	Aby gra mogła ruszyć musi być zainstalowany DirectX 8.1 .\nZainstaluj DirectX 8.1 lub nowszy.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Żadne graficzne urządzenie nie zostało znalezione.\nSprawdź, czy twoja karta VGA jest aktualnie zainstalowana.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Nie można było uruchomić karty graficznej.\nSprawdź czy masz kartę VGA.\nAlternatywniem możesz aktywować akcelerację sprzętową.\n(Ustaw suwak akceleracji sprzętowej na maks. \nPanel Sterowania->Ekran->Ustawienia->Zaawansowane->Rozwiązywanie Problemów)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Karta graficzna w komputerze nie obsługuje trybu ekranowego w trybie 32bit.\nUstaw tryb 16 bitowy lub użyj trybu pełnoekranowego.
GAME_INIT_ERROR_ITEM_PROTO	Brak danych o Przedmiotach.\nZainstaluj grę jeszcze raz.
GAME_INIT_ERROR_MAIN_WINDOW	Gra nie mogła zostać uruchomiona w okienku
GAME_INIT_ERROR_MOB_PROTO	Brak danych o Potworach.\nZainstaluj grę jeszcze raz.
GAME_INIT_ERROR_NETWORK	Nie można było uruchomić urządzeń sieciowych.\nSprawdź swoje ustawienia internetowe.
GAME_PICK_MONEY	Otrzymałeś %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Wysokość nie ma 128px.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Wysokość nie ma 12px.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Szerokość nie ma 16px.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Szerokość nie ma 64px.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Gra nie obsługuje tego obrazka.
GUILDMARK_UPLOADER_ERROR_PATH	Przenieś plik do folderu upload/ w głównym katalogu gry Metin2.
GUILDMARK_UPLOADER_ERROR_SELECT	Plik z obrazkiem nie został wybrany.
GUILDWAR_CTF_TITLE	Flaga zdobyta.
GUILDWAR_NORMAL_TITLE	Pole Bitwy
GUILDWAR_QUESTION_LINE_1	Gildia %s wypowiedziała wojnę twojej Gildii.
GUILDWAR_QUESTION_LINE_2	Akceptujesz? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Walka na arenie
GUILD_BUILDING_GRADE	Ranga
GUILD_BUILDING_NAME	Nazwa Budynku
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Ducha Smoka jest już w pełni zregenerowana.
GUILD_COMMENT	Napisz
GUILD_CREATE_ERROR_INSULT_NAME	Nazwa Gildii jest niepoprawna.
GUILD_DEFAULT_GRADE	Członkowie Gildii
GUILD_DELETE	Usuń
GUILD_DEPOSIT	Depozyt
GUILD_DO_YOU_HEAL_GSP	Czy chcesz odnowić za %d Yang %d Ducha Smoka?
GUILD_DO_YOU_JOIN	Zaproszenie wygaśnie za %d sekund.
GUILD_INVITE_QUESTION	Gracz %s zaprasza Cię do gildii: %s
GUILD_EMPTY_AREA	Wolna Ziemia
GUILD_ENEMY_GUILD_NAME	Nazwa Gildii wroga
GUILD_FACILITY	Przybudówka
GUILD_GEM	Klejnot
GUILD_HEADQUARTER	Budynek Główny
GUILD_HEAL_GSP	Regeneracja Ducha Smoka
GUILD_INFO_ENEMY_GUILD_EMPTY	Nikt
GUILD_MARK_NOT_ENOUGH_LEVEL	Potrzebny przynajmniej 4. poziom.
GUILD_NAME	Nazwa Gildii
GUILD_NOT_ENOUGH_MATERIAL	Nie masz wystarczającej ilości surowców na tą budowlę.
GUILD_NOT_ENOUGH_MONEY	Nie masz wystarczającej ilości Yang na tą budowlę.
GUILD_NO_NOTICE_PERMISSION	Nie masz praw do tworzenia ogłoszeń.
GUILD_OBJECT	Obiekty
GUILD_OFFER_EXP	PD do przekazania
GUILD_SHORT_EXP	Za mało Punktów Doświadczenia.
GUILD_TILE_BASEINFO	Podstawowa Informacja
GUILD_TILE_BOARD	Tablica
GUILD_TILE_GRADE	Zarządzanie Prawami
GUILD_TILE_INFO	Informacje o Gildii
GUILD_TILE_MEMBER	Członkowie Gildii
GUILD_TILE_SKILL	Umiejętności Gildii
GUILD_WAR_LIMIT_30MIN	Czas: 30 Minut
GUILD_WAR_REWARD_POTION	Nagroda: Zwycięzca otrzymuje Miksturę
GUILD_WAR_USE_BATTLE_MAP	Miejsce: Teatr Wojny Gildii
GUILD_WAR_USE_NORMAL_MAP	Miejsce: Normalna Mapa
GUILD_WAR_WIN_CHECK_SCORE	Najlepszy wynik wygrywa Wojnę.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zdobądź Flagę przeciwnika
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	i dostarcz ją do swojej bazy.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Pokonaj wszystkich wrogów by wygrać.
GUILD_WITHDRAW	Wycofaj się
GUILD_YOU_DO_NOT_JOIN	Nie jesteś członkiem żadnej Gildii.
HORSE_HEALTH0	Martwy
HORSE_HEALTH1	Głodny
HORSE_HEALTH2	Wygłodzony
HORSE_HEALTH3	Pełny
HORSE_LEVEL1	Koń Zwykły
HORSE_LEVEL2	Koń Bojowy
HORSE_LEVEL3	Koń Wojskowy
HOUR	Godzin
HOW_MANY_ITEM_DO_YOU_DROP1	Czy chcesz upuścić %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Czy chcesz upuścić %s %d?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Wprowadź kod usunięcia z zarządzania kontem.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Usuwanie postaci
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Zwoje powrotu nie mogą być łączone.
INVENTORY_REALLY_USE_ITEM	Czy chcesz użyć tego Przedmiotu?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amator Ninja
JOB_ASSASSIN1	Moc Ninja
JOB_ASSASSIN2	Nieumarły
JOB_SHAMAN	Szaman
JOB_SHAMAN0	Amator Shaman
JOB_SHAMAN1	Moc Smoka
JOB_SHAMAN2	Moc Błyskawicy
JOB_SURA	Sura
JOB_SURA0	Amator Sura
JOB_SURA1	Moc Fata Morgany
JOB_SURA2	Moc Czarnej Magii
JOB_WARRIOR	Wojownik
JOB_WARRIOR0	Amator Wojownik
JOB_WARRIOR1	Moc Arahana
JOB_WARRIOR2	Moc Partyzany
KEYCHANGE_DONT_SAVE_EXIT	Zamknąć bez zapisywania?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] są tutaj niedozwolone!
KEYCHANGE_SAVE_EXIT	Zapisać i zamknąć?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	DÓŁ
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEWO
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	PRAWO
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACJA
KEY_SUBTRACT	-
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	GÓRA
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEFT_TIME	Pozostały czas
LOGIN_CONNECT_FAILURE	Przepraszamy, serwer jest obecnie niedostępny.
LOGIN_CONNECT_SUCCESS	Zostałeś połączony z serwerem.
LOGIN_CONNETING	Trwa łączenie z serwerem...
LOGIN_FAILURE_ALREAY	Twoje konto jest już połączone.
LOGIN_FAILURE_BE_SAME_KEY	Problem z rejestracją.
LOGIN_FAILURE_BLOCK_ID	Twoje konto jest zablokowane.
LOGIN_FAILURE_BLOCK_LOGIN	Serwer Zamknięty - proszę wybrać inny!
LOGIN_FAILURE_NOBILL	Twoje konto nie ma czasu gry.
LOGIN_FAILURE_NOT_AVAIL	Twoje konto nie może być użyte.
LOGIN_FAILURE_NOT_EXIST_ID	Nieprawidłowa nazwa konta lub hasło.
LOGIN_FAILURE_REPAIR_ID	Przedmioty zostały przywrócone dla tego konta.
LOGIN_FAILURE_SHUTDOWN	Serwer nie jest jeszcze otwarty.
LOGIN_FAILURE_TOO_MANY_USER	Nie możesz się połączyć, ponieważ za dużo graczy jest online.
LOGIN_FAILURE_UNKNOWN	Nie możesz się zarejestrować z nieznanych powodów.
LOGIN_FAILURE_WEB_BLOCK	Twoje konto zostało zablokowane na stronie www. Proszę sprawdzić swoją pocztę e-mail.
LOGIN_FAILURE_WRONG_PASSWORD	Nieprawidłowa nazwa konta lub hasło.
LOGIN_INPUT_ID	Podaj swoje ID.
LOGIN_INPUT_PASSWORD	Wpisz swoje hasło.
LOGIN_PROCESSING	Wczytywanie...
MALL_CANNOT_INSERT	Nie możesz umieścić Przedmiotu.
MALL_PASSWORD_TITLE	Hasło
MAP_A1	Strefa Yongan
MAP_A2	Dolina Seungryong
MAP_A3	Strefa Yayang
MAP_AG	Jungrang
MAP_B1	Strefa Joan
MAP_B2	Dolina Imji
MAP_B3	Strefa Bokjung
MAP_BAY	Nefrytowa Zatoka
MAP_BG	Waryong
MAP_C1	Strefa Pyungmoo
MAP_C2	Dolina Bangsan
MAP_C3	Strefa Bakra
MAP_CAPE	Przylądek Smoczego Ognia
MAP_CG	Imha
MAP_DAWN	Klif Gautama
MAP_DESERT	Pustynia Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Kraina Gigantów
MAP_SKELTOWER	Wieża Gumsan
MAP_SNOW	Góra Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Świątynia Hwang
MAP_THUNDER	Gromiste Góry
MAP_TREE	Lungsam
MAP_TRENT02	Czerwony Las
MAP_WL	Wężowe Pole
MESSENGER_ADD_FRIEND	Dodaj Przyjaciela
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND	%s dodał Cię jako przyjaciela, zaakceptować?
MESSENGER_DO_YOU_DELETE	Usunąć?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Czy chcesz usunąć numer telefonu komórkowego?
MESSENGER_DO_YOU_MOVE	Czy chcesz kontynuować?
MESSENGER_EMPTY_LIST	Pusto
MESSENGER_FAMILY	Rodzina
MESSENGER_FRIEND	Znajomi
MESSENGER_GUILD	Gildia
MINIMAP	Otwórz Mini Mapę
MINIMAP_CANNOT_SEE	Nie można zobaczyć Mini Mapy.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Podgląd Mapy nie może zostać ukazany.
MINIMAP_DEC_SCALE	Oddal
MINIMAP_INC_SCALE	Przybliż
MINIMAP_OBSERVER_COUNT	%d obserwatorów
MINIMAP_SHOW_AREAMAP	Otwórz Dużą Mapę
MINUTE	Minut
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Dziesięć Tysięcy
MONETARY_UNIT2	Sto Miliardów
MONEY_INPUT_DIALOG_SELLPRICE	Cena sprzedaży:
