11900	Smoking	Elegancki garnitur - w sam raz na œlub.
18900	Kamieñ Czerw. P³omienia	Zwiêksza bonusy twojego pasa.	
22000	Zwój Powrotu Do Miasta	Zwój pozwalaj¹cy Ci teleportowaæ siê do najbli¿szego miasta.	
22010	Zwój Powrotu	Zwój pozwala Ci wróciæ do miasta i potem powróciæ do obecnej lokalizacji.	
25040	Zwój B³ogos³awieñstwa	Usuwa ryzyko zniszczenia przedmiotu podczas jego ulepszania. Je¿eli ulepszanie siê nie powiedzie, to jakoœæ przedmiotu jest redukowana o 1 poziom.	
25041	Magiczny Kamieñ	Bry³a legendarnego metalu zapewniaj¹cego najlepsze wyniki podczas ulepszania przedmiotów. W ten sposób ulepszony przedmiot nie mo¿e ulec ani zniszczeniu ani pogorszeniu.
27007	Czerwona Mikstura (XXL)	
27008	Niebieska Mikstura (XXL)	
25100	Zwój Kamienia Duszy	Zwój pozwala Ci wydobyæ Kamieñ Duszy z broni albo zbroi. Zostawia znak wydobycia.	
27051	Czerwona Mikstura (D)	Uzupe³nia 1200 Punktów ¯ycia. Niezdatna do handlu.	
27052	Niebieska Mikstura (D)	Uzupe³nia 400 Punktów Energii. Niezdatna do handlu.	
27053	Zielona Mikstura (M)	Zwiêksza Twoj¹ Szybkoœæ Ataku o +10 na okres 10 minut. Niezdatna do handlu.	
27054	Fioletowa Mikstura (M)	Zwiêksza Szybkoœæ Ruchu o +10 na okres 10 minut. Niezdatna do handlu.	
27600	Wysuszone Drzewo	Drzewo œciête na ognisko.	
27610	Marmur Rybaka	Ten magiczny marmur pokazuje informacje o z³owionej rybie.	
27620	Rybie Wnêtrznoœci	Ksi¹¿ka dostarczaj¹ca informacji o rybach.	
27799	Rybia Oœæ	Twarde oœci ryby.	
27800	Papka	Najtañsza przynêta.	
27801	Robak	Przynêta przyci¹gaj¹ca ryby.	
27802	Drobne Ryby	Przynêta przyci¹gaj¹ca du¿e ryby.	
27803	Karaœ	Popularna ryba, ¿yj¹ca z regu³y w stawach.	
27804	Ryba Mandaryna	Smaczna ryba.	
27805	Du¿y Karaœ	Du¿y, gruby Karaœ.	
27806	Karp	Du¿a, srebrna ryba.	
27807	£osoœ	Ryba wracaj¹ca do domu podczas sezonu godowego.	
27808	Amur	Karp jedz¹cy z regu³y trawê.	
27809	Pstr¹g	Kuzyn £ososia.	
27810	Wêgorz	Ryba przypominaj¹ca wê¿a. Charakteryzuje siê du¿¹ wytrzyma³oœci¹.	
27811	Têczowy Pstr¹g	Ryba o têczowym kolorze pleców.	
27812	Rzeczny Pstr¹g	Ryba ¿yj¹ca w rzekach.	
27813	Krasnopiórka	Ryba ¿yj¹ca w ³awicach.	
27814	Okoñ	Ryba, czêsto nazywana pogromc¹ jezior.	
27815	Tenchi	Rodzaj Kie³pa ¿yj¹cy tylko w czystej wodzie.	
27816	Sum	Ryba posiadaj¹ca charakterystyczne d³ugie "kocie" w¹sy	
27817	Piskorz	Zwinna ryba ¿yj¹ca z regu³y w b³otnistych wodach.	
27818	Ryba Lotosu	Du¿a ryba ¿yj¹ca w czystych wodach, ma z³o¿on¹ dietê.	
27819	S³odka Ryba	Kuzyn gromadnika. ¯yje na brzegach i ujœciach.	
27820	Gromadnik	Ryba w wiêkszoœci ³apana poprzez ³owienie w lodzie.	
27821	Shiri	Ryba o piêknym kszta³cie i kolorze.	
27822	Lustrzany Karp	Udomowiony Karp.	
27823	Z³oty Karaœ	Rzadki, z³oty Karaœ.	
27833	Martwy Karaœ	Martwy Karaœ.|Mo¿e byæ upieczony nad ogniskiem.	
27834	Martwa Ryba Mandaryna	Martwa Ryba Mandaryna.|Mo¿e byæ upieczona nad ogniskiem.	
27835	Martwy Du¿y Karaœ	Martwy Du¿y Karaœ.|Mo¿e byæ upieczony nad ogniskiem.	
27836	Martwy Karp	Martwy Karp.|Mo¿e byæ upieczony nad ogniskiem.	
27837	Martwy £osoœ	Martwy £osoœ.|Mo¿e byæ upieczony nad ogniskiem.	
27838	Martwy Amur	Martwy Amur. |Mo¿e byæ upieczony nad ogniskiem.	
27839	Martwy Pstr¹g	Martwy Pstr¹g.|Mo¿e byæ upieczony nad ogniskiem.	
27840	Martwy Wêgorz	Martwy Wêgorz.|Mo¿e byæ upieczony nad ogniskiem.	
27841	Martwy Têczowy Pstr¹g	Martwy Têczowy Pstr¹g.|Mo¿e byæ upieczony nad ogniskiem.	
27842	Martwy Rzeczny Pstr¹g	Martwy Rzeczny Pstr¹g.|Mo¿e byæ upieczony nad ogniskiem.	
27843	Martwa Krasnopiórka	Martwa Krasnopiórka.|Mo¿e byæ upieczona nad ogniskiem.	
27844	Martwy Okoñ	Martwy Okoñ.|Mo¿e byæ upieczony nad ogniskiem.	
27845	Martwa Tenchi	Martwa Tenchi.|Mo¿e byæ upieczona nad ogniskiem.	
27846	Martwy Sum	Martwy Sum.|Mo¿e byæ upieczony nad ogniskiem.	
27847	Martwy Piskorz	Martwy Piskorz.|Mo¿e byæ upieczony nad ogniskiem.	
27848	Martwa Ryba Lotosu	Martwa Ryba Lotosu.|Mo¿e byæ upieczona nad ogniskiem.	
27849	Martwa S³odka Ryba	Martwa S³odka Ryba.|Mo¿e byæ upieczona nad ogniskiem.	
27850	Martwy Gromadnik	Martwy Gromadnik.|Mo¿e byæ upieczony nad ogniskiem.	
27851	Martwa Shiri	Martwa Shiri.|Mo¿e byæ upieczona nad ogniskiem.	
27852	Martwy Lustrzany Karp	Martwy Lustrzany Karp.|Mo¿e byæ upieczony nad ogniskiem.	
27853	Martwy Z³oty Karaœ	Martwy Z³oty Karaœ.|Mo¿e byæ upieczony nad ogniskiem.	
27863	Pieczony Karaœ	Regeneruje trochê Punktów ¯ycia.	
27864	Pieczona Ryba Mandaryna	Regeneruje trochê Punktów Energii.	
27865	Pieczony Du¿y Karaœ	Regeneruje trochê Punktów ¯ycia.	
27866	Pieczony Karp	Zwiêksza Szybkoœæ Ruchu na pewien czas.	
27867	Pieczony £osoœ	Regeneruje trochê Punktów Energii.	
27868	Pieczony Amur	Zwiêksza Szybkoœæ Ataku na pewien czas.	
27869	Pieczony Pstr¹g	Regeneruje du¿¹ iloœæ Punktów ¯ycia.	
27870	Pieczony Wêgorz	Zwiêksza Si³ê o 10 punktów na 10 minut.	
27871	Pieczony Têczowy Pstr¹g	Regeneruje du¿¹ iloœæ Punktów Energii.	
27872	Pieczony Rzeczny Pstr¹g	Natychmiast regeneruje trochê Punktów Energii.	
27873	Pieczona Krasnopiórka	Zwiêksza twoj¹ Zrêcznoœæ o 10 punktów na 10 minut.	
27874	Pieczony Okoñ	Usuwa negatywne efekty.	
27875	Pieczony Tenchi	Natychmiast regeneruje trochê Punktów ¯ycia.	
27876	Pieczony Sum	Natychmiast regeneruje trochê Punktów Energii.	
27877	Pieczony Piskorz	Stajesz siê niewidzialny na 5 minut.	
27878	Pieczona Ryba Lotosu	Natychmiast regeneruje trochê Punktów ¯ycia.	
27879	Pieczona S³odka Ryba	Ryba przyrz¹dzona nad ogniskiem to wspania³y wêdzony przysmak.	
27880	Pieczony Gromadnik	Ryba przyrz¹dzona nad ogniskiem. Wspania³y wêdzony przysmak.	
27881	Pieczona Shiri	Ryba przyrz¹dzona nad ogniskiem to wspania³y wêdzony przysmak.	
27882	Pieczony Lustrzany Karp	Ryba przyrz¹dzona nad ogniskiem. Wspania³y wêdzony przysmak.	
27883	Pieczony Z³oty Karaœ	Ryba przyrz¹dzona nad ogniskiem. Wspania³y wêdzony przysmak.	
27987	Ma³¿	Miêczak w ³adnej muszli. W œrodku mo¿e znajdowaæ siê cenna per³a.	
27988	Mapa Skarbów	Tajemnicza mapa zawieraj¹ca po³o¿enie staro¿ytnego skarbu.	
27989	Wykrywacz Kamieni Metin	Wykrywacz pokazuje po³o¿enie i odleg³oœæ do najbli¿szego Kamienia Metin. Im jaœniejsza strza³ka kierunku, tym bli¿ej jesteœ. Mo¿e byæ uaktywniony 6 razy.	
27990	Kawa³ek Kamienia	Z powodu ma³ych wymiarów, przedmiot ten mo¿na bardzo ³atwo transportowaæ. Ma wiele zastosowañ.	
27991	Kamieñ Wodny	Twardy i szorstki kamieñ, który mo¿e byæ u¿ywany do szlifowania broni albo sprzêtu kuchennego.	
27992	Bia³a Per³a	Idealnie bia³a per³a. |Kobiety je kochaj¹.	
27993	Niebieska Per³a	Niebieska per³a. |Kobiety je kochaj¹.	
27994	Krwawa Per³a	Krwawo-czerwona per³a. |Kobiety je kochaj¹.	
27995	Pusta Butelka	Pusta butelka.	
27996	Butelka Z Trucizn¹	Butelka wype³niona trucizn¹. |Powoduje œmieræ.	
27997	Marmur Witalnoœci	Marmur regeneruj¹cy trochê Punktów ¯ycia.	
27998	Sakiewka Alchemika	Zniszczony worek, w którym przechowywane by³y tajemnice Alchemików.	
27999	Sakiewka Kamieni Dusz	Sakiewka do przechowywania Kamieni Dusz.	
29001	Muszla	Jedna z najwiêkszych i najsmaczniejszych muszli. Posiada grzebieñ w interesuj¹cym kszta³cie.	
29002	Niebieska Muszla	Masa per³owa tej muszli jest piêknie zabarwiona na kolor niebieski.	
29003	¯ó³ta Muszla	Masa per³owa tej muszli jest piêknie zabarwiona na kolor ¿ó³ty.	
29004	Czerwona Muszla	Masa per³owa tej muszli jest piêknie zabarwiona na kolor czerwony.	
29005	Zielona Muszla	Masa per³owa tej muszli jest piêknie zabarwiona na kolor zielony.	
29006	¯ó³ty Kamieñ Winny	Kamieñ Winny o ciemnym kolorze.	
29007	Niebieski Kamieñ Winny	Kamieñ Winny o ciemnoniebieskim kolorze.	
29008	Niebieska Œwiêta Woda	W œwietle s³onecznym powierzchnia tej Œwiêtej Wody jest lekko niebieska.	
29009	¯ó³ta Œwiêta Woda	W œwietle s³onecznym powierzchnia tej Œwiêtej Wody jest lekko ¿ó³tawa.	
29010	Czerwona Œwiêta Woda	W œwietle s³onecznym powierzchnia tej Œwiêtej Wody jest lekko czerwona.	
29011	Zielona Œwiêta Woda	W œwietle s³onecznym powierzchnia tej Œwiêtej Wody jest lekko zielona.	
29012	Ciemno-Nieb. Rêka Boga	Niebieska Œwiêta Woda	
29013	Jasno-¯ó³ta Œwiêta Woda	Œwiêta Woda o ciemno¿ó³tym kolorze.	
29014	Jasno-Czerw. Œwiêta Woda	Œwiêta Woda o ciemnoczerwonym kolorze.	
29015	Ciemno-Ziel. Rêka Boga	Œwiêta Woda o ciemnozielonym kolorze.	
30000	Jêczmieñ	Popularna roœlina, s³u¿y do robienia piwa i jedzenia.	
30001	List	List od kogoœ.	
30002	Pieczona Kie³basa	Pieczona kie³basa. W œrodku znajduj¹ siê warzywa i przyprawy.	
30003	Nos Œwini	Nos œwini.	
30004	Z¹b Dzika	Bardzo mocny z¹b dzika.	
30005	Kawa³ek Zepsutej Zbroi	Fragment uszkodzonej zbroi.	
30006	Z¹b Orka	Dziwnie pachn¹cy z¹b olbrzymiego Orka.	
30007	Amulet Orka	Amulet, który dodaje odwagi Olbrzymim Orkom.	
30008	Ezoteryczny Przewodnik	Podrêcznik dla pocz¹tkuj¹cych. Zawiera podstawowe informacje o doktrynie ezoterycznej.	
30009	Nieznane Lekarstwo	Tajemnicze lekarstwo. W jego sk³ad wchodz¹ nieznane sk³adniki.	
30010	¯ó³æ NiedŸwiedzia	Znana z odnawiania poczucia smaku.	
30011	K³¹b	K³¹b nici.	
30012	Butelka Wina	Butelka aromatycznego wina.	
30013	Dzban Likieru	U¿ywany do postarzania likieru.	
30014	Futro Yeti	Futro legendarnej kreatury, Yeti. Doskonale chroni przed zimnem.	
30015	Pami¹tka Po Demonie	Œwiec¹ca pami¹tka po demonie.	
30016	Klejnot Demona	Klejnot znany z mo¿liwoœci przechowywania dusz umar³ych.	
30017	Ozdobna Spinka Do W³osów	Kobieca spinka do w³osów.	
30018	Czerwona Wstêga	Modna wstêga do spinania kobiecych w³osów.	
30019	P³on¹ca Grzywa	S³u¿y do robienia ubrañ na zimê.	
30020	Nasionko Brzoskwini	Dobre na zdrow¹ skórê.	
30021	Kawa³ek Klejnotu	Klejnot uderzony czymœ twardym.	
30022	Ogon Wê¿a	Ogon grzechotnika.	
30023	Futro Bia³ego Tygrysa	Najbardziej cenione futro zwierzêce wœród kolekcjonerów.	
30024	Ogon Konia	U¿ywany do robienia przedmiotów dobrej jakoœci takich jak szczotki, kapelusze i liny.	
30025	Worek z Pajêcz¹ Trucizn¹	Woreczek jadowy paj¹ka.	
30026	Kiszka Wilka	Sk³adnik do robienia kie³basy, popularnej w ca³ym Imperium.	
30027	Futro Wilka	W³osy z futra wilka u¿ywane s¹ do robienia grzebieni i szczotek.	
30028	Szpon Wilka	S³u¿y do robienia ró¿nych akcesoriów.	
30029	W¹troba Wilka	Sk³adnik do robienia kie³basy, popularnej w ca³ym Imperium.	
30030	Zardzewia³e Ostrze	Zardzewia³e ostrze sztyletu.	
30031	Ornament	Ulubiona ozdoba wœród dziewczyn.	
30032	Czarny Uniform	Zniszczony Czarny Uniform.	
30033	St³uczona Porcelana	Kawa³ek st³uczonej porcelany.	
30034	Bia³a Wstêga	Modna wstêga do spinania kobiecych w³osów.	
30035	Krem Do Twarzy	Krem u¿ywany zazwyczaj przez kobiety. Ma w³aœciwoœci odm³adzaj¹ce.	
30036	Mistyczne Zio³o	Legendarne zio³o o mistycznych w³aœciwoœciach.	
30037	Szpon Tygrysa	Niektórzy wojownicy nosz¹ naszyjniki ze Szponów Tygrysa, aby pokazaæ innym swoj¹ odwagê.	
30038	Skóra Tygrysa	Ulubione futro zwierzêce wœród kolekcjonerów.	
30039	Kawa³ek P³ótna	U¿ywany do banda¿owania ran.	
30040	Liœæ	Liœæ nieznanej roœliny.	
30041	Shuriken	Broñ miotana. Najczêœciej u¿ywana przez zabójców.	
30042	Pazur Tygrysa	Solidny, œwiec¹cy pazur tego dzikiego kota.	
30043	Fasola	Sk³adnik u¿ywany w wielu kuchniach.	
30044	Glina	Glina do robienia porcelany.	
30045	Ig³a Skorpiona	Ig³a z trucizna skorpiona.	
30046	Ogon Skorpiona	Truj¹cy ogon skorpiona.	
30047	Ksiêga Kl¹tw	Ezoteryczna ksiêga s³u¿¹ca do przeklinania kogoœ.	
30048	Kawa³ek Lodu	Zamarzniêta woda, która jest zawsze zimna.	
30049	Lodowy Róg Wieloryba	Cenny materia³ rzeŸbiarski.	
30050	Matowy Lód	Nie rozpuszcza siê podczas ciep³ych dni.	
30051	Nieznany Talizman	Nieznany talizman, tylko ezoterycy mog¹ je czytaæ.	
30052	Flaga	Flaga do oznaczania jednostek dzikusów.	
30053	NiedŸwiedzia Skóra	U¿ywana przez ludzi, aby wzmocniæ wytrzyma³oœæ fizyczn¹.	
30054	Obr¹czka Œlubna	Jedyny pierœcionek, który nosisz do koñca.	
30055	Szpon Skorpiona	Krzepko wygl¹daj¹cy szpon.	
30056	Pajêcza Sieæ	Paj¹k u¿ywa swojej nici do robienia sobie domu.	
30057	Oczy Paj¹ka	Oczy Paj¹ka s¹ lubiane wœród kolekcjonerów.	
30058	Worek Z Pajêcz. Jajami	U¿ywany jako talizman przez kobiety bezdzietne.	
30059	Nogi Paj¹ka	W³ochate nogi paj¹ka s¹ u¿ywane przez szamanów.	
30060	Jêzyk ¯aby	Lepki jêzyk ¿aby.	
30061	¯abie Udka	Egzotyczny sk³adnik potraw, smakuje jak kurczak!	
30062	Czara Lekarstwa	Czara u¿ywana w farmaceutyce.	
30063	Lekarstwo Na Skórê	Leczy choroby skóry.	
30064	Ostry Kamieñ	Kamieñ u¿ywany do robienia grotów strza³.	
30065	Dzwonek	Ma³y dzwonek wydaj¹cy dŸwiêczne odg³osy.	
30066	Ostry Pieprz	Bardzo ostry pieprz.	
30067	Skóra Wê¿a	Skóra wê¿a.	
30068	Stek Z Tofu	Potrawa z tofu.	
30069	Szpon Wilka+	S³u¿y do robienia ró¿nych akcesoriów.	
30070	Futro Wilka+	W³osy z futra wilka u¿ywane s¹ do robienia grzebieni i szczotek.	
30071	¯ó³æ NiedŸwiedzia+	Znana z odnawiania poczucia smaku.	
30072	NiedŸwiedzia Skóra+	U¿ywana przez ludzi, aby wzmocniæ wytrzyma³oœæ fizyczn¹.	
30073	Bia³a Wstêga+	Modna wstêga do spinania kobiecych w³osów.	
30074	Czarny Uniform+	Zniszczony Czarny Uniform.	
30075	Shuriken+	Broñ miotana. Najczêœciej u¿ywana przez zabójców.	
30076	Amulet Orka+	Amulet, który dodaje odwagi Olbrzymim Orkom.	
30077	Z¹b Orka+	Dziwnie pachn¹cy z¹b olbrzymiego Orka.	
30078	Ezoteryczny Przewodnik+	Podrêcznik dla pocz¹tkuj¹cych. Zawiera podstawowe informacje o doktrynie ezoterycznej.	
30079	Nieznany Talizman+	Nieznany talizman, tylko ezoterycy mog¹ je czytaæ.	
30080	Ksiêga Kl¹tw+	Ezoteryczna ksiêga s³u¿¹ca do przeklinania kogoœ.	
30081	Ogon Skorpiona+	Truj¹cy ogon skorpiona.	
30082	Ogon Wê¿a+	Ogon grzechotnika.	
30083	Nieznane Lekarstwo+	Tajemnicze lekarstwo. W jego sk³ad wchodz¹ nieznane sk³adniki.	
30084	Nieznany Talizman+	Nieznany talizman, tylko ezoterycy mog¹ je czytaæ.	
30085	Kawa³ek P³ótna+	U¿ywany do banda¿owania ran.	
30086	Pami¹tka Po Demonie+	Œwiec¹ca pami¹tka po demonie.	
30087	Klejnot Demona+	Klejnot znany z mo¿liwoœci przechowywania dusz umar³ych.	
30088	Kawa³ek Lodu+	Zamarzniêta woda, która jest zawsze zimna.	
30089	Futro Yeti+	Futro legendarnej kreatury, Yeti. Doskonale chroni przed zimnem.	
30090	Matowy Lód+	Nie rozpuszcza siê podczas ciep³ych dni.	
30091	Symbol Wojownika	Symbol wojownika dawany przez legendarnych wojowników.	
30092	Zdobycz Dzikusa	Pozosta³oœæ po wojnie.	
30093	Torba Szczêœcia	Jedwabny woreczek do przechowywania cennoœci.	
30094	Torba Szczêœcia	Jedwabny woreczek do przechowywania cennoœci.	
30095	Torba Szczêœcia	Jedwabny woreczek do przechowywania cennoœci.	
30096	Torba Szczêœcia	Jedwabny woreczek do przechowywania cennoœci.	
30129	Rozkaz JeŸdŸcy	Dokument zawieraj¹cy misjê wojskow¹.	
30130	Pusta Butelka	Pusta butelka zrobiona ze szk³a, mo¿na j¹ wype³niæ ró¿nymi p³ynami.	
30131	List Od Kowala	List od Kowala dla przyjaciela.	
30132	Ksiêga Uriela	Ksi¹¿ka, której czytanie sprawia Urielowi wielk¹ przyjemnoœæ. Na jej brzegu widnieje jakiœ nieczytelny tytu³.	
30133	Kwieciste Buty	£adne kobiece buty.	
30134	Przesy³ka Uriela	Przesy³ka Uriela - w œrodku znajduje siê bardzo du¿o ksi¹¿ek.	
30135	List Od Ariyoung	List od Ariyoung do Ayoo.	
30136	Rozrzutnie Ozdobiony £uk	Cudowny ³uk wykonany ze zwierzêcego rogu.	
30137	Krew Ma³py	Krew ma³py. Okropnie pachnie.	
30138	Pustynny Piasek	Ten wyj¹tkowo drobny piasek jest u¿ywany do wyrobu Seledynowej Porcelany.	
30139	Kie³ Orka	Kie³ orka. U¿ywany jako talizman.	
30140	Nici	Mocne nici. Najczêœciej u¿ywane do naprawiania ubrañ. Przydatne równie¿ do wyrobu naszyjników.	
30141	Ozdobny Diament	Diamenty najczêœciej u¿ywane s¹ jako ozdoby ubrañ.	
30142	List	Nie jesteœ w stanie przeczytaæ, co jest napisane w tym liœcie. Mo¿e musisz nauczyæ siê jêzyka?	
30143	Zio³a Lecznicze	Wysuszone zio³a lecznicze. Niestety s¹ nieco zakurzone.	
30144	W¹troba Tygrysa	Czerwonobr¹zowa, pokaŸna w¹troba wyroœniêtego kota drapie¿nego.	
30145	Lekarstwo Balsosa	Silne lekarstwo.	
30146	Kawa³ Lodu	Bardzo zimny.	
30147	Œwi¹tynna Doktryna	Ksiêga zawieraj¹ca informacje na temat Mrocznej Œwi¹tyni.	
30148	Œwi¹tynny Szal	Szal s³u¿¹cy do modlitwy.	
30149	Lody z Syropem	Napój zawieraj¹cy kawa³ek lodu i syrop. Cudowny latem.	
30150	Strona Pamiêtnika	Strona z pamiêtnika napisanego przez star¹ dynastiê.	
30151	Skóra Wilka	U¿ywana jako œcierka do kurzu.	
30152	Lekarstwo	Podobno mo¿e wyleczyæ tajemnicz¹ chorobê. Nikt nie wie, czy naprawdê dzia³a.	
30153	Kwiaty	Bukiet rzadkich kwiatów. Zapach kojarzy Ci siê z czymœ z przesz³oœci.	
30154	Sekretna Ksiêga Œwi¹tyni	Analiza historii i doktryny Sekretnej Œwi¹tyni.	
30155	Amulet Mirine	Naszyjnik. Na odwrocie wygrawerowane jest jakieœ imiê...	
30156	Sekretna Ksiêga Œwi¹tyni	Analiza historii i doktryny Sekretnej Œwi¹tyni.	
30157	Grot Strza³y	Te zatrute Groty Strza³ pomog¹ w obronie królestwa.	
30177	Olejek Pi¿mowy	Olejek Pi¿mowy jest u¿ywany przez Sprzedawcê Broni podczas misji. Przedmiot ten nie ma innego zastosowania.	
30179	Krêty Klucz	Ten magiczny klucz aktywuje portal do Œwi¹tyni Smoka.	
30180	Amulet Boga Smoków	Ten kawa³ek z³otej bi¿uterii mo¿e skróciæ drogê do Groty Wygnañców.	
30181	Strona	Na tym pergaminie znajduj¹ siê wyblak³e napisy, które trudno rozszyfrowaæ. Ta strona wygl¹da na bardzo star¹.	
30182	Legendarny Pamiêtnik	Ten duplikat staro¿ytnej ksiêgi wygl¹da na bardzo cenny.	
30183	Posêpna Drewniana Maska	Ta drewniana maska wygl¹da, jakby siê w Ciebie wpatrywa³a. Najprawdopodobniej przedmiot ten by³ wykorzystywany podczas jakiœ rytua³ów.	
30184	Zaczarowany Popió³	Popió³ w tym dziwnym pojemniku, pokrytym dziwnymi symbolami, otacza ³agodny blask.	
30185	Czarny Lód	Nawet najciemniejszy mrok rozjaœnia siê przy tej b³yszcz¹cej i niezwykle g³adkiej powierzchni.	
30186	Skamienia³a £za	Skamienia³a £za boga Baljit-Elvedin, który w dzisiejszych czasach znany jest jako Bóg Smoków.	
30187	Kropla Krwi	Kropla Krwi zamordowanej bogini Bahar-Taraji, stwórcy œwiata.	
30188	Obsydian	Kamieñ wulkaniczny, który zosta³ nagle sch³odzony.	
30189	£zy Baljit-Elvedin	Ta piêknie zdobiona waza zawiera £zy boga Baljit-Elvedin.	
30190	Krwisty Kamieñ	Ten kamieñ zrobiony jest z krwi Bahar-Taraji i umo¿liwia Ci wejœcie na drugi poziom Groty Wygnañców.	
30191	Krwisty Kamieñ	Krwiste Kamienie umo¿liwiaj¹ Ci wejœcie na drugi poziom Groty Wygnañców.	
30192	Mleczny Sok	Wysokojakoœciowa wydzielina roœlinna	
30193	Koœæ Palca	Wszystko, co zosta³o po poleg³ym bohaterze.	
30194	Orkowa Maczuga	Brzydka broñ ze stabilnymi kolcami.	
30195	Piasek Kwarcowy	Wygl¹da na to, ¿e ten piasek s³u¿y kamiennym kreaturom z pustyni jako krew.	
30196	Demoniczne Prochy	Nawet prochy demona posiadaj¹ nieziemskie si³y.	
30197	Magiczne Nasiona	Te nasiona po prostu tryskaj¹ ¿yciodajn¹ energi¹.	
30198	Wodny Kryszta³	Serce mrocznej lodowej kreatury.	
30199	Niebieski Kryszta³	Od³amek kryszta³u dla wzmocnienia mrocznych si³ ze Œwi¹tyni Smoka.	
30210	Fragment Klejnotu	Krystalicznie czysty kamieñ, na którym œwiat³o migocze wieloma ma³ymi iskierkami.	
30211	Fragment Klejnotu	Krystalicznie czysty kamieñ, który wyrzuca tajemnicze iskry.	
30212	Fragment Klejnotu	Ma³y iskrz¹cy kamieñ.	
30213	Fragment Klejnotu	Ma³y iskrz¹cy kamieñ.	
30214	Fragment Klejnotu	Ma³y iskrz¹cy kamieñ.	
30215	Fragment Klejnotu	Ma³y iskrz¹cy kamieñ.	
30216	Fragment Klejnotu	Ma³y iskrz¹cy kamieñ.	
30217	Fragment Klejnotu	Ma³y iskrz¹cy kamieñ.	
30218	Fragment Klejnotu	Ma³y iskrz¹cy kamieñ.	
30219	Fragment Klejnotu	Ma³y iskrz¹cy kamieñ.	
30220	Kamieñ Duszy Jinunggyi	Legendarny kamieñ, zawiera duszê arystokraty Jinung.	
30221	Œwi¹tynny Kamieñ Duszy	Legendarny kamieñ, zawiera duszê œwi¹tynnego wyznawcy.	
30222	Kamieñ Duszy Sagyi	Legendarny kamieñ, zawiera duszê arystokraty Sagyis.	
30223	Kamieñ Duszy Aurtumryu	Legendarny kamieñ, zawiera duszê arystokraty Aurtumryus.	
30224	Kamieñ Duszy Gyimok	Legendarny kamieñ, zawiera duszê arystokraty Gyimoks.	
30225	Kamieñ Duszy Tugyi	Legendarny kamieñ, zawiera duszê arystokraty Tugyis.	
30228	Kamieñ Dusz Beran-Setaou	Mroczna aura upad³ego boga przenika do wnêtrza i szuka dostêpu do Twojego serca.	
30251	Klejnot Zawiœci	Diament przepe³niony z³oœliwoœci¹.	
30252	Klejnot M¹droœci	Diament otacza aura pokoju oraz szlachetnoœci.	
30253	Klejnot Wiernoœci	Diament otacza aura walki ducha oraz szczeroœci.	
30265	Czêœæ Medalu (1)	Pierwszy od³amek medalu bohatera	
